Name,Type,Best_Season,Avg_Cost,Typical_Duration,Image_URL,Description,Latitude,Longitude
Nainital,Hill Station,Summer,8000,3,nainital.jpg,"A beautiful hill station known for its scenic lake, colonial architecture, and pleasant weather.",29.39247,79.45227
Mussoorie,Hill Station,Summer,9000,3,mussoorie.jpg,"Popularly called the 'Queen of Hills', Mussoorie offers panoramic views of the Himalayas and colonial charm.",30.45546,78.08022
Rishikesh,Spiritual / Adventure,Winter,7000,2,rishikesh.jpg,"Famous for yoga, meditation, and adventure sports like rafting on the Ganges River.",30.11409,78.28399
Haridwar,Spiritual,Winter,6000,2,haridwar.jpg,"An ancient city on the banks of the Ganges, known for Ganga Aarti and pilgrimage significance.",29.94462,78.16588
Jim Corbett National Park,Wildlife,Winter,11000,2,jim_corbett_national_park.jpg,"India’s oldest national park, rich in flora and fauna, especially Bengal tigers and elephants.",29.5528,78.88296
Auli,Ski Resort,Winter,14000,4,auli.jpg,A skiing paradise in the Himalayas offering snowy slopes and panoramic views.,30.5416,79.55153
Valley of Flowers,Trekking / Nature,Monsoon,10000,5,valley_of_flowers.jpg,A UNESCO World Heritage site famous for its endemic alpine flowers and lush meadows.,30.71484,79.59305
Badrinath,Pilgrimage,Summer,12000,3,badrinath.jpg,One of the Char Dham pilgrimage sites dedicated to Lord Vishnu in the Himalayas.,30.74325,79.49305
Kedarnath,Pilgrimage,Summer,15000,4,kedarnath.jpg,"A revered shrine dedicated to Lord Shiva, nestled amidst snow-covered peaks.",30.73487,79.06766
Chopta,Hill Station / Trekking,Autumn,8000,3,chopta.jpg,"Known as the 'Mini Switzerland' of India, perfect for trekking and tranquil landscapes.",30.4872,79.223
Jim Corbett National Park,  Adventure,Summer,19923,4,jim_corbett_national_park.jpg,"India’s oldest national park, rich in flora and fauna, especially Bengal tigers and elephants. ",29.5528,78.88296
Jim Corbett National Park , Trekking,Winter,19980,3,jim_corbett_national_park.jpg,"India’s oldest national park, rich in flora and fauna, especially Bengal tigers and elephants. ",29.5528,78.88296
Auli , Trekking,Winter,18938,2,auli.jpg,A skiing paradise in the Himalayas offering snowy slopes and panoramic views. ,30.5416,79.55153
Haridwar , Pilgrimage,Winter,11616,5,haridwar.jpg,"An ancient city on the banks of the Ganges, known for Ganga Aarti and pilgrimage significance. ",29.94462,78.16588
Jim Corbett National Park , Wildlife,Winter,12192,6,jim_corbett_national_park.jpg,"India’s oldest national park, rich in flora and fauna, especially Bengal tigers and elephants. ",29.5528,78.88296
Rishikesh , Nature,Summer,14000,3,rishikesh.jpg,"Famous for yoga, meditation, and adventure sports like rafting on the Ganges River. ",30.11409,78.28399
Kedarnath,  Ski Resort,Monsoon,11271,4,kedarnath.jpg,"A revered shrine dedicated to Lord Shiva, nestled amidst snow-covered peaks. ",30.73487,79.06766
Chopta  ,Nature,Monsoon,16781,2,chopta.jpg,"Known as the 'Mini Switzerland' of India, perfect for trekking and tranquil landscapes. ",30.4872,79.223
Haridwar , Ski Resort,Summer,18890,3,haridwar.jpg,"An ancient city on the banks of the Ganges, known for Ganga Aarti and pilgrimage significance. ",29.94462,78.16588
